bio,lemmatized_tokens,flag_classification,reason
the bar is low but still not stepping over it,"['bar', 'low', 'still', 'stepping']",🤷‍♂️No Clear Signal,[]
"Wine lover, flakes.","['wine', 'lover', 'flake']",🙂Mixed Signal,"['lover', 'flake']"
bad at texting,"['bad', 'texting']",🚩Red Flag,['bad']
Recovering chaos magnet,"['recovering', 'chaos', 'magnet']",🚩Red Flag,['chaos']
Gym rat and plant killer—don’t ask about my succulents.,"['gym', 'rat', 'plant', 'killerdont', 'ask', 'succulent']",🤷‍♂️No Clear Signal,[]
"Pizza lover, meme curator, coffee addict 🍕😂☕","['pizza', 'lover', 'meme', 'curator', 'coffee', 'addict']",🌿Green Flag,"['pizza', 'lover', 'coffee']"
love dogs more than ppl,"['love', 'dog', 'ppl']",🌿Green Flag,"['love', 'dog']"
can cook you soup when you’re sick,"['cook', 'soup', 'youre', 'sick']",🤷‍♂️No Clear Signal,[]
Flirt dangerously,"['flirt', 'dangerously']",🚩Red Flag,['flirt']
loves books & tacos,"['love', 'book', 'taco']",🌿Green Flag,['love']
"Beach days, long drives, and good vibes.","['beach', 'day', 'long', 'drive', 'good', 'vibe']",🤷‍♂️No Clear Signal,[]
"Dog mom, human disaster","['dog', 'mom', 'human', 'disaster']",🌿Green Flag,"['dog', 'human']"
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
"Night owl, meme hoarder, ice cream addict.","['night', 'owl', 'meme', 'hoarder', 'ice', 'cream', 'addict']",🤷‍♂️No Clear Signal,[]
"Obsessed with hiking, street food, and good vibes.","['obsessed', 'hiking', 'street', 'food', 'good', 'vibe']",🚩Red Flag,['obsessed']
"Flirt responsibly, snack recklessly","['flirt', 'responsibly', 'snack', 'recklessly']",🚩Red Flag,['flirt']
"Professional overthinker, amateur napper","['professional', 'overthinker', 'amateur', 'napper']",🌿Green Flag,['professional']
Dog lover and meme addict 🐶😂,"['dog', 'lover', 'meme', 'addict']",🌿Green Flag,"['dog', 'lover']"
emojis everywhere 😂,"['emojis', 'everywhere']",🤷‍♂️No Clear Signal,[]
"Coffee before anything, forgets birthdays.","['coffee', 'anything', 'forgets', 'birthday']",🌿Green Flag,['coffee']
"Fitness junkie, chocolate connoisseur.","['fitness', 'junkie', 'chocolate', 'connoisseur']",🤷‍♂️No Clear Signal,[]
Professional shower singer,"['professional', 'shower', 'singer']",🌿Green Flag,['professional']
love horror and pizza,"['love', 'horror', 'pizza']",🌿Green Flag,"['love', 'pizza']"
"Obsessed with hiking, photography, and laughter.","['obsessed', 'hiking', 'photography', 'laughter']",🚩Red Flag,['obsessed']
don’t fall for me. i’m unhinged,"['dont', 'fall', 'im', 'unhinged']",🙂Mixed Signal,"['dont', 'unhinged']"
I cuddle dogs more than humans.,"['cuddle', 'dog', 'human']",🌿Green Flag,"['dog', 'human']"
"Fitness buff, avoids emotional depth.","['fitness', 'buff', 'avoids', 'emotional', 'depth']",🌿Green Flag,['emotional']
"if we date, your dog becomes my dog","['date', 'dog', 'becomes', 'dog']",🌿Green Flag,"['dog', 'dog']"
Professional napper seeking partner in naps,"['professional', 'napper', 'seeking', 'partner', 'nap']",🌿Green Flag,['professional']
naps > parties,"['nap', 'party']",🤷‍♂️No Clear Signal,[]
Caffeine-fueled overthinker,"['caffeinefueled', 'overthinker']",🤷‍♂️No Clear Signal,[]
wanderlust but lazy,"['wanderlust', 'lazy']",🤷‍♂️No Clear Signal,[]
bored rn,"['bored', 'rn']",🤷‍♂️No Clear Signal,[]
Weekend road tripper seeking co-pilot.,"['weekend', 'road', 'tripper', 'seeking', 'copilot']",🤷‍♂️No Clear Signal,[]
love dogs more than ppl,"['love', 'dog', 'ppl']",🌿Green Flag,"['love', 'dog']"
introvert probs,"['introvert', 'probs']",🤷‍♂️No Clear Signal,[]
"Loves camping, music, and street food.","['love', 'camping', 'music', 'street', 'food']",🌿Green Flag,['love']
talk later maybe,"['talk', 'later', 'maybe']",🤷‍♂️No Clear Signal,[]
"Can be too honest, too fast. ⚡","['honest', 'fast']",🌿Green Flag,['honest']
overthinker & snack,"['overthinker', 'snack']",🤷‍♂️No Clear Signal,[]
Introvert seeking another introvert for mutual ignoring,"['introvert', 'seeking', 'another', 'introvert', 'mutual', 'ignoring']",🤷‍♂️No Clear Signal,[]
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
i ghost but loyal,"['ghost', 'loyal']",🚩Red Flag,['ghost']
i bite,['bite'],🤷‍♂️No Clear Signal,[]
"bad at cooking, good at eating","['bad', 'cooking', 'good', 'eating']",🚩Red Flag,['bad']
chaotic energy & memes,"['chaotic', 'energy', 'meme']",🤷‍♂️No Clear Signal,[]
"I overthink, then nap.","['overthink', 'nap']",🚩Red Flag,['overthink']
kinda awkward,"['kinda', 'awkward']",🤷‍♂️No Clear Signal,[]
my playlist is chaotic,"['playlist', 'chaotic']",🤷‍♂️No Clear Signal,[]
i overthink,['overthink'],🚩Red Flag,['overthink']
"Aspiring polyglot, starting with Spanish.","['aspiring', 'polyglot', 'starting', 'spanish']",🤷‍♂️No Clear Signal,[]
"Fitness buff, sometimes clingy.","['fitness', 'buff', 'sometimes', 'clingy']",🌿Green Flag,['clingy']
"Music nerd, meme dealer, occasional philosopher. 🎧😂","['music', 'nerd', 'meme', 'dealer', 'occasional', 'philosopher']",🤷‍♂️No Clear Signal,[]
"Wine fan, manipulative sometimes.","['wine', 'fan', 'manipulative', 'sometimes']",🤷‍♂️No Clear Signal,[]
Explorer with a camera in hand.,"['explorer', 'camera', 'hand']",🤷‍♂️No Clear Signal,[]
pizza & chaos forever,"['pizza', 'chaos', 'forever']",🙂Mixed Signal,"['pizza', 'chaos']"
"Obsessed with hiking, photography, and laughter.","['obsessed', 'hiking', 'photography', 'laughter']",🚩Red Flag,['obsessed']
single and spicy,"['single', 'spicy']",🤷‍♂️No Clear Signal,[]
Recovering chaos magnet,"['recovering', 'chaos', 'magnet']",🚩Red Flag,['chaos']
"introvert, leave me alone","['introvert', 'leave', 'alone']",🤷‍♂️No Clear Signal,[]
likes small adventures,"['like', 'small', 'adventure']",🌿Green Flag,['small']
I ghost to protect feelings (mine and yours).,"['ghost', 'protect', 'feeling', 'mine']",🚩Red Flag,['ghost']
i nap daily,"['nap', 'daily']",🤷‍♂️No Clear Signal,[]
"I trip over nothing, impressively","['trip', 'nothing', 'impressively']",🤷‍♂️No Clear Signal,[]
shy & spicy,"['shy', 'spicy']",🤷‍♂️No Clear Signal,[]
Loves vintage shops and spontaneous adventures.,"['love', 'vintage', 'shop', 'spontaneous', 'adventure']",🌿Green Flag,['love']
"Coffee first, then world domination.","['coffee', 'first', 'world', 'domination']",🌿Green Flag,['coffee']
work hard nap harder,"['work', 'hard', 'nap', 'harder']",🤷‍♂️No Clear Signal,[]
Introvert seeking someone to share music and silence with.,"['introvert', 'seeking', 'someone', 'share', 'music', 'silence']",🌿Green Flag,['share']
"Gamer, secretly moody.","['gamer', 'secretly', 'moody']",🤷‍♂️No Clear Signal,[]
Obsessed with retro movies.,"['obsessed', 'retro', 'movie']",🚩Red Flag,['obsessed']
i snack constantly,"['snack', 'constantly']",🤷‍♂️No Clear Signal,[]
Life of the party… until it’s inconvenient for me. 😈,"['life', 'party', 'inconvenient']",🌿Green Flag,['life']
"Loves karaoke, dancing in the rain, and chocolate.","['love', 'karaoke', 'dancing', 'rain', 'chocolate']",🌿Green Flag,"['love', 'dancing']"
"I laugh at sarcasm, love deep talks.","['laugh', 'sarcasm', 'love', 'deep', 'talk']",🙂Mixed Signal,"['laugh', 'love', 'deep', 'sarcasm']"
beach > mountains,"['beach', 'mountain']",🤷‍♂️No Clear Signal,[]
Weekend hiker looking for adventure buddy.,"['weekend', 'hiker', 'looking', 'adventure', 'buddy']",🤷‍♂️No Clear Signal,[]
Obsessed with rainy days and warm drinks.,"['obsessed', 'rainy', 'day', 'warm', 'drink']",🙂Mixed Signal,"['warm', 'obsessed']"
Professional meme curator,"['professional', 'meme', 'curator']",🌿Green Flag,['professional']
match me if ur not boring plsSSS,"['match', 'ur', 'boring', 'plssss']",🚩Red Flag,['boring']
Life’s too short for bad vibes and bad coffee ✨☕,"['life', 'short', 'bad', 'vibe', 'bad', 'coffee']",🙂Mixed Signal,"['life', 'coffee', 'bad', 'bad']"
"Obsessed with sunsets, dogs, and spontaneous trips.","['obsessed', 'sunset', 'dog', 'spontaneous', 'trip']",🙂Mixed Signal,"['dog', 'obsessed']"
"Pizza enthusiast, people optional","['pizza', 'enthusiast', 'people', 'optional']",🌿Green Flag,"['pizza', 'enthusiast']"
"I love deep convos, but I hate confrontation.","['love', 'deep', 'convos', 'hate', 'confrontation']",🌿Green Flag,"['love', 'deep']"
looking 4 a chill buddy,"['looking', 'chill', 'buddy']",🌿Green Flag,['chill']
love sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
"I overanalyze everything, including this bio.","['overanalyze', 'everything', 'including', 'bio']",🤷‍♂️No Clear Signal,[]
"Fluent in movie quotes, sarcasm, and chaos.","['fluent', 'movie', 'quote', 'sarcasm', 'chaos']",🙂Mixed Signal,"['fluent', 'sarcasm', 'chaos']"
like deep talks and dumb memes. not into hookups but will fall for anyone who smells like cinnamon.,"['like', 'deep', 'talk', 'dumb', 'meme', 'hookup', 'fall', 'anyone', 'smell', 'like', 'cinnamon']",🌿Green Flag,['deep']
Obsessed with true crime and spontaneous adventures.,"['obsessed', 'true', 'crime', 'spontaneous', 'adventure']",🚩Red Flag,['obsessed']
Beach bum with a Netflix addiction.,"['beach', 'bum', 'netflix', 'addiction']",🤷‍♂️No Clear Signal,[]
lazy & spicy,"['lazy', 'spicy']",🤷‍♂️No Clear Signal,[]
gym & memes,"['gym', 'meme']",🤷‍♂️No Clear Signal,[]
"Night owl, meme hoarder, chocolate lover.","['night', 'owl', 'meme', 'hoarder', 'chocolate', 'lover']",🌿Green Flag,['lover']
"coffee first, then world","['coffee', 'first', 'world']",🌿Green Flag,['coffee']
lonely but thriving,"['lonely', 'thriving']",🤷‍♂️No Clear Signal,[]
"Fitness buff, sometimes moody.","['fitness', 'buff', 'sometimes', 'moody']",🤷‍♂️No Clear Signal,[]
"Coffee lover, avoids serious talks.","['coffee', 'lover', 'avoids', 'serious', 'talk']",🌿Green Flag,"['coffee', 'lover']"
Recovering chaos magnet,"['recovering', 'chaos', 'magnet']",🚩Red Flag,['chaos']
meh whatever,"['meh', 'whatever']",🤷‍♂️No Clear Signal,[]
emojis > words,"['emojis', 'word']",🤷‍♂️No Clear Signal,[]
sarcasm is my cardio,"['sarcasm', 'cardio']",🚩Red Flag,['sarcasm']
"Yoga addict, ignores partner needs.","['yoga', 'addict', 'ignores', 'partner', 'need']",🤷‍♂️No Clear Signal,[]
Beach bum with a passion for photography.,"['beach', 'bum', 'passion', 'photography']",🌿Green Flag,['passion']
"Loves dogs, forgets small promises.","['love', 'dog', 'forgets', 'small', 'promise']",🌿Green Flag,"['love', 'dog', 'small']"
I’d never leave you on read unless I’m asleep,"['id', 'never', 'leave', 'read', 'unless', 'im', 'asleep']",🌿Green Flag,['asleep']
i like small adventures,"['like', 'small', 'adventure']",🌿Green Flag,['small']
"If you love clear communication, match me","['love', 'clear', 'communication', 'match']",🌿Green Flag,"['love', 'communication']"
"Fitness freak, sometimes judgmental.","['fitness', 'freak', 'sometimes', 'judgmental']",🤷‍♂️No Clear Signal,[]
memes all day,"['meme', 'day']",🤷‍♂️No Clear Signal,[]
"Night owl, meme collector, chocolate lover.","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']",🌿Green Flag,['lover']
Loves spontaneous adventures but ghosted once you asked for commitment.,"['love', 'spontaneous', 'adventure', 'ghosted', 'asked', 'commitment']",🌿Green Flag,['love']
terrible at small talk,"['terrible', 'small', 'talk']",🌿Green Flag,['small']
"Yoga lover, ignores texts.","['yoga', 'lover', 'ignores', 'text']",🌿Green Flag,['lover']
Not here for anything serious unless you’re rich,"['anything', 'serious', 'unless', 'youre', 'rich']",🤷‍♂️No Clear Signal,[]
"Fitness freak, avoids deep conversations.","['fitness', 'freak', 'avoids', 'deep', 'conversation']",🌿Green Flag,['deep']
"I laugh too loud, regret it too often.","['laugh', 'loud', 'regret', 'often']",🌿Green Flag,['laugh']
"Night owl, meme collector, chaos enthusiast.","['night', 'owl', 'meme', 'collector', 'chaos', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'chaos']"
"Has a dog and a huge heart, but terrible with money.","['dog', 'huge', 'heart', 'terrible', 'money']",🌿Green Flag,['dog']
loves memes too much,"['love', 'meme', 'much']",🌿Green Flag,['love']
please don’t trauma dump unless it’s interesting,"['please', 'dont', 'trauma', 'dump', 'unless', 'interesting']",🙂Mixed Signal,"['dont', 'trauma', 'dump']"
overthink & nap queen,"['overthink', 'nap', 'queen']",🚩Red Flag,['overthink']
Introverted extrovert,"['introverted', 'extrovert']",🤷‍♂️No Clear Signal,[]
messy but cute,"['messy', 'cute']",🚩Red Flag,['messy']
Could be loyal… or just dramatic. 😬,"['could', 'loyal', 'dramatic']",🚩Red Flag,['dramatic']
"Fluent in sarcasm, memes, and coffee ☕😂","['fluent', 'sarcasm', 'meme', 'coffee']",🙂Mixed Signal,"['fluent', 'coffee', 'sarcasm']"
i nap like a champ,"['nap', 'like', 'champ']",🤷‍♂️No Clear Signal,[]
Caffeine-fueled overthinker,"['caffeinefueled', 'overthinker']",🤷‍♂️No Clear Signal,[]
just another human,"['another', 'human']",🌿Green Flag,['human']
Looking for partner in snack crimes,"['looking', 'partner', 'snack', 'crime']",🤷‍♂️No Clear Signal,[]
"Professional overthinker, amateur napper","['professional', 'overthinker', 'amateur', 'napper']",🌿Green Flag,['professional']
"Amateur painter, daydreamer, chaos lover.","['amateur', 'painter', 'daydreamer', 'chaos', 'lover']",🙂Mixed Signal,"['lover', 'chaos']"
i’m either your comfort person or your lesson. there is no in between.,"['im', 'either', 'comfort', 'person', 'lesson']",🚩Red Flag,['lesson']
Loves hiking but hates people in general.,"['love', 'hiking', 'hate', 'people', 'general']",🌿Green Flag,['love']
might annoy u,"['might', 'annoy', 'u']",🤷‍♂️No Clear Signal,[]
"Coffee lover, flaky.","['coffee', 'lover', 'flaky']",🌿Green Flag,"['coffee', 'lover']"
i ghost but come back,"['ghost', 'come', 'back']",🚩Red Flag,['ghost']
"Professional overthinker, amateur chef 🤯🍳","['professional', 'overthinker', 'amateur', 'chef']",🌿Green Flag,['professional']
Late-night thinker and early morning coffee drinker 🌙☕,"['latenight', 'thinker', 'early', 'morning', 'coffee', 'drinker']",🌿Green Flag,"['morning', 'coffee']"
casual but deadly,"['casual', 'deadly']",🤷‍♂️No Clear Signal,[]
binge eat then regret,"['binge', 'eat', 'regret']",🤷‍♂️No Clear Signal,[]
"Can cook pasta, can’t handle commitment.","['cook', 'pasta', 'cant', 'handle', 'commitment']",🤷‍♂️No Clear Signal,[]
"I can quote entire TV shows, useless but impressive","['quote', 'entire', 'tv', 'show', 'useless', 'impressive']",🤷‍♂️No Clear Signal,[]
Professional napper seeking partner in naps,"['professional', 'napper', 'seeking', 'partner', 'nap']",🌿Green Flag,['professional']
in my healing era but still choosing violence,"['healing', 'era', 'still', 'choosing', 'violence']",🚩Red Flag,['violence']
i overcommit,['overcommit'],🤷‍♂️No Clear Signal,[]
pizza & coffee always,"['pizza', 'coffee', 'always']",🌿Green Flag,"['pizza', 'coffee', 'always']"
"Coffee lover, ignores texts for days.","['coffee', 'lover', 'ignores', 'text', 'day']",🌿Green Flag,"['coffee', 'lover']"
"Professional overthinker, chaos bringer","['professional', 'overthinker', 'chaos', 'bringer']",🙂Mixed Signal,"['professional', 'chaos']"
I’m not gonna pretend to be chill. I care.,"['im', 'gon', 'na', 'pretend', 'chill', 'care']",🙂Mixed Signal,"['chill', 'pretend']"
Board game enthusiast looking for a rival.,"['board', 'game', 'enthusiast', 'looking', 'rival']",🌿Green Flag,['enthusiast']
i talk 2 myself,['talk'],🤷‍♂️No Clear Signal,[]
swipe if you’re intocommunication and cuddling,"['swipe', 'youre', 'intocommunication', 'cuddling']",🌿Green Flag,['cuddling']
obsessed w stars,"['obsessed', 'w', 'star']",🚩Red Flag,['obsessed']
love sarcasm & chaos,"['love', 'sarcasm', 'chaos']",🙂Mixed Signal,"['love', 'sarcasm', 'chaos']"
drama free pls,"['drama', 'free', 'pls']",🚩Red Flag,['drama']
Always planning the next spontaneous adventure.,"['always', 'planning', 'next', 'spontaneous', 'adventure']",🌿Green Flag,['always']
Flirt dangerously,"['flirt', 'dangerously']",🚩Red Flag,['flirt']
"pizza > salads, fight me","['pizza', 'salad', 'fight']",🙂Mixed Signal,"['pizza', 'fight']"
Will dance in the rain with the right person.,"['dance', 'rain', 'right', 'person']",🤷‍♂️No Clear Signal,[]
"Loves dancing, flaky.","['love', 'dancing', 'flaky']",🌿Green Flag,"['love', 'dancing']"
I may delete my TikToks but not my charm,"['may', 'delete', 'tiktoks', 'charm']",🤷‍♂️No Clear Signal,[]
"Loves karaoke, dancing, and ice cream runs.","['love', 'karaoke', 'dancing', 'ice', 'cream', 'run']",🌿Green Flag,"['love', 'dancing']"
Caffeine-dependent life form,"['caffeinedependent', 'life', 'form']",🌿Green Flag,['life']
Loves trivia and random facts.,"['love', 'trivia', 'random', 'fact']",🌿Green Flag,['love']
"Obsessed with music, hiking, and sunsets.","['obsessed', 'music', 'hiking', 'sunset']",🚩Red Flag,['obsessed']
"Obsessed with photography, street food, and coffee.","['obsessed', 'photography', 'street', 'food', 'coffee']",🙂Mixed Signal,"['coffee', 'obsessed']"
passion project: trying every croissant in the city 🥐,"['passion', 'project', 'trying', 'every', 'croissant', 'city']",🙂Mixed Signal,"['passion', 'croissant']"
early riser? sometimes,"['early', 'riser', 'sometimes']",🤷‍♂️No Clear Signal,[]
idc about your gym gains if ur brain is small,"['idc', 'gym', 'gain', 'ur', 'brain', 'small']",🌿Green Flag,['small']
I trip over flat surfaces,"['trip', 'flat', 'surface']",🤷‍♂️No Clear Signal,[]
love coffee and chaos,"['love', 'coffee', 'chaos']",🙂Mixed Signal,"['love', 'coffee', 'chaos']"
"Yoga enthusiast, manipulative sometimes.","['yoga', 'enthusiast', 'manipulative', 'sometimes']",🌿Green Flag,['enthusiast']
"Loves books, hates cliffhangers.","['love', 'book', 'hate', 'cliffhanger']",🌿Green Flag,['love']
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
I will overshare in the first 5 messages,"['overshare', 'first', 'message']",🚩Red Flag,['overshare']
"Snack first, questions later","['snack', 'first', 'question', 'later']",🤷‍♂️No Clear Signal,[]
lowkey dramatic,"['lowkey', 'dramatic']",🚩Red Flag,['dramatic']
Dance like nobody’s watching… then post it online. 💃📸,"['dance', 'like', 'nobody', 'watching', 'post', 'online']",🤷‍♂️No Clear Signal,[]
"Snack provider, chaos enthusiast","['snack', 'provider', 'chaos', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'chaos']"
Fun but unpredictable.,"['fun', 'unpredictable']",🤷‍♂️No Clear Signal,[]
Dog whisperer seeking dog human,"['dog', 'whisperer', 'seeking', 'dog', 'human']",🌿Green Flag,"['dog', 'dog', 'human']"
drama free queen,"['drama', 'free', 'queen']",🚩Red Flag,['drama']
"Adventure seeker, ghosted once.","['adventure', 'seeker', 'ghosted']",🤷‍♂️No Clear Signal,[]
"I ghost, then show up mysteriously.","['ghost', 'show', 'mysteriously']",🚩Red Flag,['ghost']
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
dogs > humans obviously,"['dog', 'human', 'obviously']",🌿Green Flag,"['dog', 'human']"
"lover of rainy days, big hugs, and personal growth","['lover', 'rainy', 'day', 'big', 'hug', 'personal', 'growth']",🌿Green Flag,"['lover', 'growth']"
love sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
tacos before talkies,"['taco', 'talkie']",🤷‍♂️No Clear Signal,[]
i like bad boys but hate being hurt,"['like', 'bad', 'boy', 'hate', 'hurt']",🚩Red Flag,['bad']
not your type probably,"['type', 'probably']",🤷‍♂️No Clear Signal,[]
SINGLE & READY,"['single', 'ready']",🤷‍♂️No Clear Signal,[]
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
shy af,"['shy', 'af']",🤷‍♂️No Clear Signal,[]
Will judge your memes silently,"['judge', 'meme', 'silently']",🤷‍♂️No Clear Signal,[]
Pizza over salad any day.,"['pizza', 'salad', 'day']",🌿Green Flag,['pizza']
Collector of vinyls and memories.,"['collector', 'vinyl', 'memory']",🤷‍♂️No Clear Signal,[]
laughs too loud,"['laugh', 'loud']",🌿Green Flag,['laugh']
emotionally stable? couldn’t be me,"['emotionally', 'stable', 'couldnt']",🌿Green Flag,['stable']
"Love adventure, fear commitment.","['love', 'adventure', 'fear', 'commitment']",🌿Green Flag,['love']
Could ghost… but I’ll leave cute notes. 😬❤️,"['could', 'ghost', 'ill', 'leave', 'cute', 'note']",🚩Red Flag,['ghost']
Mix of sweet and chaos energy.,"['mix', 'sweet', 'chaos', 'energy']",🚩Red Flag,['chaos']
Obsessed with handwritten letters.,"['obsessed', 'handwritten', 'letter']",🚩Red Flag,['obsessed']
Currently avoiding adulthood at all costs,"['currently', 'avoiding', 'adulthood', 'cost']",🤷‍♂️No Clear Signal,[]
loves dogs too much,"['love', 'dog', 'much']",🌿Green Flag,"['love', 'dog']"
"Coffee first, adulting later ☕🙃","['coffee', 'first', 'adulting', 'later']",🌿Green Flag,['coffee']
"Wine fan, avoids tough talks.","['wine', 'fan', 'avoids', 'tough', 'talk']",🤷‍♂️No Clear Signal,[]
just here till i find someone worse,"['till', 'find', 'someone', 'worse']",🚩Red Flag,['worse']
"Always laughing, rarely serious. 😄","['always', 'laughing', 'rarely', 'serious']",🌿Green Flag,"['always', 'laughing']"
lowkey flirty,"['lowkey', 'flirty']",🤷‍♂️No Clear Signal,[]
"I’ll steal your fries, sometimes your soul.","['ill', 'steal', 'fry', 'sometimes', 'soul']",🙂Mixed Signal,"['soul', 'steal']"
"Flirt dangerously, nap responsibly","['flirt', 'dangerously', 'nap', 'responsibly']",🚩Red Flag,['flirt']
can be annoying but cute,"['annoying', 'cute']",🤷‍♂️No Clear Signal,[]
I trip over flat surfaces,"['trip', 'flat', 'surface']",🤷‍♂️No Clear Signal,[]
"I roast, then apologize immediately.","['roast', 'apologize', 'immediately']",🌿Green Flag,['apologize']
let’s skip the small talk and build something big 💚,"['let', 'skip', 'small', 'talk', 'build', 'something', 'big']",🌿Green Flag,"['small', 'something']"
"Loves sports, ghosted 3 friends this month.","['love', 'sport', 'ghosted', 'friend', 'month']",🌿Green Flag,['love']
"Loves photography, ignores messages.","['love', 'photography', 'ignores', 'message']",🌿Green Flag,['love']
casual vibes,"['casual', 'vibe']",🤷‍♂️No Clear Signal,[]
Wine tasting over whiskey shots.,"['wine', 'tasting', 'whiskey', 'shot']",🤷‍♂️No Clear Signal,[]
coffee dependent,"['coffee', 'dependent']",🌿Green Flag,['coffee']
"Obsessed with dogs, street food, and spontaneity.","['obsessed', 'dog', 'street', 'food', 'spontaneity']",🙂Mixed Signal,"['dog', 'obsessed']"
i like hugs,"['like', 'hug']",🤷‍♂️No Clear Signal,[]
I dance badly but confidently,"['dance', 'badly', 'confidently']",🤷‍♂️No Clear Signal,[]
Looking for someone to argue about Marvel movies with.,"['looking', 'someone', 'argue', 'marvel', 'movie']",🤷‍♂️No Clear Signal,[]
Introvert with a caffeine addiction,"['introvert', 'caffeine', 'addiction']",🤷‍♂️No Clear Signal,[]
i panic too often,"['panic', 'often']",🤷‍♂️No Clear Signal,[]
Obsessed with sunsets and good playlists 🌅🎶,"['obsessed', 'sunset', 'good', 'playlist']",🚩Red Flag,['obsessed']
too many tabs open in brain,"['many', 'tab', 'open', 'brain']",🤷‍♂️No Clear Signal,[]
Night owl who thrives on chaos and laughter.,"['night', 'owl', 'thrives', 'chaos', 'laughter']",🚩Red Flag,['chaos']
Professional overthinker,"['professional', 'overthinker']",🌿Green Flag,['professional']
Therapist said this might help 💀,"['therapist', 'said', 'might', 'help']",🤷‍♂️No Clear Signal,[]
dogs > humans obviously,"['dog', 'human', 'obviously']",🌿Green Flag,"['dog', 'human']"
pizza > life,"['pizza', 'life']",🌿Green Flag,"['pizza', 'life']"
dog > people,"['dog', 'people']",🌿Green Flag,['dog']
emo but cute,"['emo', 'cute']",🤷‍♂️No Clear Signal,[]
wine > water,"['wine', 'water']",🤷‍♂️No Clear Signal,[]
"Love adventures, fear boring people.","['love', 'adventure', 'fear', 'boring', 'people']",🙂Mixed Signal,"['love', 'boring']"
"Cat parent, avoids emotional depth.","['cat', 'parent', 'avoids', 'emotional', 'depth']",🌿Green Flag,['emotional']
"Yoga enthusiast, coffee enthusiast, life enthusiast.","['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']",🌿Green Flag,"['enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']"
sometimes too honest,"['sometimes', 'honest']",🌿Green Flag,['honest']
can sleep anywhere,"['sleep', 'anywhere']",🤷‍♂️No Clear Signal,[]
Music runs through my veins 🎶❤️,"['music', 'run', 'vein']",🤷‍♂️No Clear Signal,[]
"Snack first, questions later","['snack', 'first', 'question', 'later']",🤷‍♂️No Clear Signal,[]
binge watcher & eater,"['binge', 'watcher', 'eater']",🤷‍♂️No Clear Signal,[]
I laugh at my own jokes,"['laugh', 'joke']",🌿Green Flag,['laugh']
"I love sarcasm, sometimes I mean it.","['love', 'sarcasm', 'sometimes', 'mean']",🙂Mixed Signal,"['love', 'sarcasm']"
Beach bum in search of the perfect sunset 🌊🌅,"['beach', 'bum', 'search', 'perfect', 'sunset']",🤷‍♂️No Clear Signal,[]
i laugh at bad jokes,"['laugh', 'bad', 'joke']",🙂Mixed Signal,"['laugh', 'bad']"
messy bun & coffee,"['messy', 'bun', 'coffee']",🙂Mixed Signal,"['coffee', 'messy']"
I want something that feels like home,"['want', 'something', 'feel', 'like', 'home']",🌿Green Flag,"['something', 'home']"
"Gamer, foodie, coffee addict.","['gamer', 'foodie', 'coffee', 'addict']",🌿Green Flag,['coffee']
Loves midnight walks and starry skies.,"['love', 'midnight', 'walk', 'starry', 'sky']",🌿Green Flag,['love']
Night owl seeking midnight chats.,"['night', 'owl', 'seeking', 'midnight', 'chat']",🤷‍♂️No Clear Signal,[]
Currently avoiding adulthood creatively,"['currently', 'avoiding', 'adulthood', 'creatively']",🤷‍♂️No Clear Signal,[]
I want something that feels like safety,"['want', 'something', 'feel', 'like', 'safety']",🌿Green Flag,"['something', 'safety']"
"Loves books, music, and chocolate.","['love', 'book', 'music', 'chocolate']",🌿Green Flag,['love']
"I flirt, then regret slightly.","['flirt', 'regret', 'slightly']",🚩Red Flag,['flirt']
i live for memes,"['live', 'meme']",🤷‍♂️No Clear Signal,[]
"Yoga lover, ignores texts.","['yoga', 'lover', 'ignores', 'text']",🌿Green Flag,['lover']
"Coffee, sarcasm, repeat.","['coffee', 'sarcasm', 'repeat']",🙂Mixed Signal,"['coffee', 'sarcasm']"
obsessed w astrology,"['obsessed', 'w', 'astrology']",🚩Red Flag,['obsessed']
Obsessed with stationery and planners.,"['obsessed', 'stationery', 'planner']",🚩Red Flag,['obsessed']
Just here for the memes and good vibes 😏,"['meme', 'good', 'vibe']",🤷‍♂️No Clear Signal,[]
i cry at disney movies,"['cry', 'disney', 'movie']",🤷‍♂️No Clear Signal,[]
dating me is like therapy but worse,"['dating', 'like', 'therapy', 'worse']",🚩Red Flag,['worse']
