bio,gender,age,city,gender,platform,filtered_tokens,lemmatized_tokens,flag_classification,reason
been single so long I forgot how to flirt,Female,18,San Fransisco,Female,Tinder,"['single', 'long', 'forgot', 'flirt']","['single', 'long', 'forget', 'flirt']",🚩Red Flag,"flirt, flirt"
Loves road trips and bad karaoke. 🎤🚗,Non-binary,32,Dallas,Non-binary,Hinge,"['loves', 'road', 'trips', 'bad', 'karaoke']","['love', 'road', 'trip', 'bad', 'karaoke']",🚩Red Flag,"bad, bad, bad, love"
I laugh at my own jokes… constantly,Female,22,San Fransisco,Female,Bumble,"['laugh', 'jokes', 'constantly']","['laugh', 'constantly']",🌿Green Flag,laugh
dogs > humans,Male,42,Dallas,Male,Tinder,"['dogs', 'humans']","['dog', 'human']",🌿Green Flag,"dog, human, dog, human"
bored here,Non-binary,18,Chicago,Non-binary,CMB,['bored'],['bore'],🤷‍♂️No Clear Signal,
I trip over flat surfaces,Female,40,Las Vegas,Female,Hinge,"['trip', 'flat', 'surfaces']","['trip', 'flat', 'surface']",🤷‍♂️No Clear Signal,
tacos > love,Non-binary,43,Houston,Non-binary,Tinder,"['tacos', 'love']","['taco', 'love']",🌿Green Flag,love
Dog mom who can’t resist a good meme 🐶😂,Non-binary,34,San Fransisco,Non-binary,Bumble,"['dog', 'mom', 'cant', 'resist', 'good', 'meme']","['dog', 'mom', 'resist', 'good', 'meme']",🌿Green Flag,"dog, dog, meme"
Sarcasm: my second language,Female,20,New York,Female,Hinge,"['sarcasm', 'second', 'language']","['sarcasm', 'second', 'language']",🚩Red Flag,sarcasm
pizza > everything,Non-binary,20,Houston,Non-binary,Tinder,"['pizza', 'everything']","['pizza', 'everything']",🌿Green Flag,"pizza, pizza"
might annoy u,Male,28,LA,Male,OkCupid,"['might', 'annoy', 'u']","['might', 'annoy']",🤷‍♂️No Clear Signal,
"Gamer, flaky mid-week.",Female,28,LA,Female,OkCupid,"['gamer', 'flaky', 'midweek']","['gamer', 'flaky']",🚩Red Flag,flaky
"currently into pottery, quiet mornings, and better boundaries",Female,30,San Fransisco,Female,OkCupid,"['currently', 'pottery', 'quiet', 'mornings', 'better', 'boundaries']","['currently', 'pottery', 'quiet', 'morning', 'good', 'boundary']",🌿Green Flag,"quiet, morning, currently"
"if you hate texting and expect me to carry convos alone… idc how hot you are, go away.",Non-binary,42,Philadelphia,Non-binary,Hinge,"['hate', 'texting', 'expect', 'carry', 'convos', 'alone', 'idc', 'hot', 'go', 'away']","['hate', 'texting', 'expect', 'carry', 'convos', 'idc', 'hot', 'go', 'away']",🚩Red Flag,hate
overthinker but loveable,Female,23,Las Vegas,Female,OkCupid,"['overthinker', 'loveable']","['overthinker', 'loveable']",🤷‍♂️No Clear Signal,
"Wine lover, ghosted recently.",Female,31,Chicago,Female,Tinder,"['wine', 'lover', 'ghosted', 'recently']","['wine', 'lover', 'ghost', 'recently']",🚩Red Flag,"ghost, ghost, lover"
Loves road trips and singing off-key.,Non-binary,19,Philadelphia,Non-binary,Bumble,"['loves', 'road', 'trips', 'singing', 'offkey']","['love', 'road', 'trip', 'sing']",🌿Green Flag,love
loves cuddles,Female,30,San Fransisco,Female,OkCupid,"['loves', 'cuddles']","['love', 'cuddle']",🌿Green Flag,love
Netflix is my spirit animal,Non-binary,42,Houston,Non-binary,OkCupid,"['netflix', 'spirit', 'animal']","['netflix', 'spirit', 'animal']",🤷‍♂️No Clear Signal,
"I love cats, tolerate humans.",Non-binary,19,Chicago,Non-binary,Bumble,"['love', 'cats', 'tolerate', 'humans']","['love', 'cat', 'tolerate', 'human']",🌿Green Flag,"human, love, human"
Loves spontaneous road trips and starry nights.,Male,39,New York,Male,CMB,"['loves', 'spontaneous', 'road', 'trips', 'starry', 'nights']","['love', 'spontaneous', 'road', 'trip', 'starry', 'night']",🌿Green Flag,love
Fitness enthusiast who loves chocolate.,Male,38,Dallas,Male,Tinder,"['fitness', 'enthusiast', 'loves', 'chocolate']","['fitness', 'enthusiast', 'love', 'chocolate']",🌿Green Flag,"love, enthusiast"
Music lover with bad rhythm.,Male,22,Chicago,Male,Tinder,"['music', 'lover', 'bad', 'rhythm']","['music', 'lover', 'bad', 'rhythm']",🚩Red Flag,"bad, bad, bad, lover"
"I steal fries, not hearts… usually",Male,36,Philadelphia,Male,Tinder,"['steal', 'fries', 'hearts', 'usually']","['steal', 'fry', 'usually']",🚩Red Flag,steal
"Fluent in sarcasm, memes, and awkward situations.",Female,19,New York,Female,OkCupid,"['fluent', 'sarcasm', 'memes', 'awkward', 'situations']","['fluent', 'sarcasm', 'meme', 'awkward', 'situation']",🚩Red Flag,"sarcasm, fluent, meme, fluent"
Loves handwritten letters and postcards.,Non-binary,38,New York,Non-binary,Tinder,"['loves', 'handwritten', 'letters', 'postcards']","['love', 'handwritten', 'letter', 'postcard']",🌿Green Flag,love
messy hair dont care,Non-binary,40,Chicago,Non-binary,Hinge,"['messy', 'hair', 'dont', 'care']","['messy', 'hair', 'dont', 'care']",🚩Red Flag,"messy, messy, dont, messy"
shy but savage,Male,43,Chicago,Male,Hinge,"['shy', 'savage']","['shy', 'savage']",🤷‍♂️No Clear Signal,
i ghost but friendly,Female,39,LA,Female,Tinder,"['ghost', 'friendly']","['ghost', 'friendly']",🚩Red Flag,"ghost, ghost"
obsessed w astrology,Female,34,New York,Female,Hinge,"['obsessed', 'w', 'astrology']","['obsess', 'astrology']",🚩Red Flag,obsess
"Coffee before anything, forgets birthdays.",Male,27,San Fransisco,Male,Tinder,"['coffee', 'anything', 'forgets', 'birthdays']","['coffee', 'anything', 'forgets', 'birthdays']",🌿Green Flag,"coffee, coffee"
Love long drives and short conversations 🚗💬,Female,31,Dallas,Female,Bumble,"['love', 'long', 'drives', 'short', 'conversations']","['love', 'long', 'drive', 'short', 'conversation']",🌿Green Flag,love
loves long walks,Non-binary,30,Chicago,Non-binary,Tinder,"['loves', 'long', 'walks']","['love', 'long', 'walk']",🌿Green Flag,love
"looking for peace, partnership, and playlists",Male,39,Dallas,Male,Bumble,"['looking', 'peace', 'partnership', 'playlists']","['look', 'peace', 'partnership', 'playlist']",🚩Red Flag,"look, peace"
might ghost u,Female,40,LA,Female,OkCupid,"['might', 'ghost', 'u']","['might', 'ghost']",🚩Red Flag,"ghost, ghost"
memes over humans,Non-binary,35,Philadelphia,Non-binary,OkCupid,"['memes', 'humans']","['meme', 'human']",🌿Green Flag,"human, meme, human"
Introvert seeking someone to share headphones with.,Male,45,Houston,Male,Bumble,"['introvert', 'seeking', 'someone', 'share', 'headphones']","['introvert', 'seek', 'someone', 'share', 'headphone']",🌿Green Flag,"share, introvert"
currently unemployed but rich in memes,Male,27,Dallas,Male,Tinder,"['currently', 'unemployed', 'rich', 'memes']","['currently', 'unemployed', 'rich', 'meme']",🌿Green Flag,"meme, currently"
Will pet your dog without asking,Male,41,San Fransisco,Male,Hinge,"['pet', 'dog', 'without', 'asking']","['pet', 'dog', 'without', 'ask']",🌿Green Flag,"dog, dog"
"I love sarcasm, hate small talk.",Female,41,Philadelphia,Female,Tinder,"['love', 'sarcasm', 'hate', 'small', 'talk']","['love', 'sarcasm', 'hate', 'small', 'talk']",🚩Red Flag,"sarcasm, hate, small, love"
"Beach hair, don’t care.",Non-binary,28,New York,Non-binary,OkCupid,"['beach', 'hair', 'dont', 'care']","['beach', 'hair', 'care']",🤷‍♂️No Clear Signal,
not ur type. ur obsession,Male,29,Chicago,Male,CMB,"['ur', 'type', 'ur', 'obsession']","['ur', 'type', 'ur', 'obsession']",🚩Red Flag,obsession
chill vibes only,Male,18,LA,Male,Hinge,"['chill', 'vibes']","['chill', 'vibe']",🌿Green Flag,"chill, chill"
here to give u trust issues,Female,44,New York,Female,Tinder,"['give', 'u', 'trust', 'issues']","['give', 'trust', 'issue']",🌿Green Flag,trust
Introvert seeking mutual ignoring,Female,26,LA,Female,OkCupid,"['introvert', 'seeking', 'mutual', 'ignoring']","['introvert', 'seek', 'mutual', 'ignoring']",🙂Mixed Flag,introvert
Meme dealer and professional procrastinator 😂🛋️,Non-binary,34,Las Vegas,Non-binary,Tinder,"['meme', 'dealer', 'professional', 'procrastinator']","['meme', 'dealer', 'professional', 'procrastinator']",🌿Green Flag,"professional, meme"
introvert vibes,Non-binary,37,LA,Non-binary,OkCupid,"['introvert', 'vibes']","['introvert', 'vibe']",🙂Mixed Flag,introvert
I will check your following list,Male,22,New York,Male,OkCupid,"['check', 'following', 'list']","['check', 'follow', 'list']",🤷‍♂️No Clear Signal,
"I trip over nothing, impressively",Non-binary,40,New York,Non-binary,Bumble,"['trip', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']",🤷‍♂️No Clear Signal,
memes all day,Non-binary,30,New York,Non-binary,Tinder,"['memes', 'day']","['meme', 'day']",🌿Green Flag,meme
pizza lover,Female,32,Dallas,Female,OkCupid,"['pizza', 'lover']","['pizza', 'lover']",🌿Green Flag,"pizza, lover, pizza"
I’m fun i swear,Female,38,Houston,Female,CMB,"['im', 'fun', 'swear']","['fun', 'swear']",🤷‍♂️No Clear Signal,
might steal ur fries,Male,24,Houston,Male,CMB,"['might', 'steal', 'ur', 'fries']","['might', 'steal', 'ur', 'fry']",🚩Red Flag,steal
I ghost cause I get nervous,Male,35,LA,Male,Tinder,"['ghost', 'cause', 'get', 'nervous']","['ghost', 'cause', 'get', 'nervous']",🚩Red Flag,"ghost, ghost"
don’t ask “wyd” unless u got plans,Male,37,Chicago,Male,Hinge,"['dont', 'ask', 'wyd', 'unless', 'u', 'got', 'plans']","['ask', 'wyd', 'unless', 'get', 'plan']",🤷‍♂️No Clear Signal,
"Morning runner, midnight thinker.",Female,43,LA,Female,Hinge,"['morning', 'runner', 'midnight', 'thinker']","['morning', 'runner', 'midnight', 'thinker']",🌿Green Flag,morning
say something stupid and i’m out,Non-binary,37,San Fransisco,Non-binary,OkCupid,"['say', 'something', 'stupid', 'im']","['say', 'something', 'stupid']",🌿Green Flag,"something, stupid"
nerd alert 🤓,Non-binary,38,LA,Non-binary,Hinge,"['nerd', 'alert']","['nerd', 'alert']",🤷‍♂️No Clear Signal,
loves strangers,Female,32,Las Vegas,Female,Bumble,"['loves', 'strangers']","['love', 'stranger']",🌿Green Flag,love
swipe if you don’t believe in therapy,Non-binary,40,Chicago,Non-binary,Hinge,"['swipe', 'dont', 'believe', 'therapy']","['swipe', 'believe', 'therapy']",🙂Mixed Flag,therapy
"I whisper to plants, they ignore me",Non-binary,29,Dallas,Non-binary,Tinder,"['whisper', 'plants', 'ignore']","['whisper', 'plant', 'ignore']",🤷‍♂️No Clear Signal,
Loves cooking experiments and tasting fails.,Male,43,Philadelphia,Male,OkCupid,"['loves', 'cooking', 'experiments', 'tasting', 'fails']","['love', 'cook', 'experiment', 'taste', 'fails']",🌿Green Flag,love
Professional meme sharer,Female,43,Dallas,Female,Bumble,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']",🌿Green Flag,"professional, meme"
"Flirting: chaotic, unplanned, cute",Female,38,Houston,Female,Tinder,"['flirting', 'chaotic', 'unplanned', 'cute']","['flirt', 'chaotic', 'unplanned', 'cute']",🚩Red Flag,"flirt, flirt, chaotic"
honestly idc,Non-binary,30,Philadelphia,Non-binary,Hinge,"['honestly', 'idc']","['honestly', 'idc']",🤷‍♂️No Clear Signal,
travel > money,Female,42,LA,Female,Tinder,"['travel', 'money']","['travel', 'money']",🙂Mixed Flag,money
tacos pls,Male,24,San Fransisco,Male,Hinge,"['tacos', 'pls']","['taco', 'pls']",🤷‍♂️No Clear Signal,
"Loves road trips, flaky with plans.",Female,27,Philadelphia,Female,Bumble,"['loves', 'road', 'trips', 'flaky', 'plans']","['love', 'road', 'trip', 'flaky', 'plan']",🚩Red Flag,"flaky, love"
"Coffee addict, book hoarder, chaos enthusiast.",Male,20,Philadelphia,Male,Hinge,"['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']",🚩Red Flag,"chaos, coffee, enthusiast, coffee, chaos"
"Foodie, sometimes manipulative.",Non-binary,19,Houston,Non-binary,Tinder,"['foodie', 'sometimes', 'manipulative']","['foodie', 'sometimes', 'manipulative']",🙂Mixed Flag,sometimes
"Amateur painter, daydreamer, chaos lover.",Non-binary,35,Las Vegas,Non-binary,CMB,"['amateur', 'painter', 'daydreamer', 'chaos', 'lover']","['amateur', 'painter', 'daydreamer', 'chaos', 'lover']",🚩Red Flag,"chaos, lover, chaos, amateur"
"Dog cuddler, human tester.",Male,28,Houston,Male,Bumble,"['dog', 'cuddler', 'human', 'tester']","['dog', 'cuddler', 'human', 'tester']",🌿Green Flag,"dog, human, dog, human"
Not here for anything serious unless you’re rich,Male,30,LA,Male,CMB,"['anything', 'serious', 'unless', 'youre', 'rich']","['anything', 'serious', 'unless', 'rich']",🤷‍♂️No Clear Signal,
I give advice I don’t follow.,Non-binary,41,San Fransisco,Non-binary,Hinge,"['give', 'advice', 'dont', 'follow']","['give', 'advice', 'follow']",🤷‍♂️No Clear Signal,
Flirt like you mean it,Female,41,Las Vegas,Female,Tinder,"['flirt', 'like', 'mean']","['flirt', 'like', 'mean']",🚩Red Flag,"flirt, flirt, like"
my ex said i’m too much. he’s right,Female,41,LA,Female,Tinder,"['ex', 'said', 'im', 'much', 'hes', 'right']","['ex', 'say', 'much', 'right']",🚩Red Flag,"ex, much"
"I care too much, then too little.",Female,22,Houston,Female,OkCupid,"['care', 'much', 'little']","['care', 'much', 'little']",🙂Mixed Flag,much
Flirt dangerously,Male,34,Chicago,Male,OkCupid,"['flirt', 'dangerously']","['flirt', 'dangerously']",🚩Red Flag,"flirt, flirt"
chill and messy,Female,35,Houston,Female,Hinge,"['chill', 'messy']","['chill', 'messy']",🚩Red Flag,"messy, messy, chill, chill, messy"
pizza time,Male,27,San Fransisco,Male,Hinge,"['pizza', 'time']","['pizza', 'time']",🌿Green Flag,"pizza, pizza"
"I roast, then give hugs.",Male,24,Chicago,Male,Hinge,"['roast', 'give', 'hugs']","['roast', 'give', 'hug']",🤷‍♂️No Clear Signal,
"Dog mom, chaos enthusiast",Non-binary,20,LA,Non-binary,CMB,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']",🚩Red Flag,"chaos, dog, enthusiast, dog, chaos"
Amateur chef with a taste for adventure.,Male,34,New York,Male,OkCupid,"['amateur', 'chef', 'taste', 'adventure']","['amateur', 'chef', 'taste', 'adventure']",🙂Mixed Flag,amateur
Living for spontaneous adventures ✈️😂,Non-binary,35,Chicago,Non-binary,Hinge,"['living', 'spontaneous', 'adventures']","['live', 'spontaneous', 'adventure']",🤷‍♂️No Clear Signal,
I know what I want. Also know how to communicate it.,Non-binary,27,San Fransisco,Non-binary,Tinder,"['know', 'want', 'also', 'know', 'communicate']","['know', 'want', 'also', 'know', 'communicate']",🌿Green Flag,communicate
chaos queen,Male,34,LA,Male,CMB,"['chaos', 'queen']","['chaos', 'queen']",🚩Red Flag,"chaos, chaos"
i talk too much,Male,28,Chicago,Male,Hinge,"['talk', 'much']","['talk', 'much']",🙂Mixed Flag,much
"if you flake, I’ll post about you",Non-binary,42,LA,Non-binary,OkCupid,"['flake', 'ill', 'post']","['flake', 'post']",🚩Red Flag,flake
"Looking for someone to steal my fries, not my heart",Female,38,San Fransisco,Female,Bumble,"['looking', 'someone', 'steal', 'fries', 'heart']","['look', 'someone', 'steal', 'fry', 'heart']",🚩Red Flag,"steal, look"
sleepy but cute,Non-binary,23,New York,Non-binary,Bumble,"['sleepy', 'cute']","['sleepy', 'cute']",🤷‍♂️No Clear Signal,
"Cat lover, avoids tough talks.",Male,18,Dallas,Male,CMB,"['cat', 'lover', 'avoids', 'tough', 'talks']","['cat', 'lover', 'avoids', 'tough', 'talk']",🌿Green Flag,lover
Late-night thinker and early morning coffee drinker 🌙☕,Female,18,Houston,Female,OkCupid,"['latenight', 'thinker', 'early', 'morning', 'coffee', 'drinker']","['thinker', 'early', 'morning', 'coffee', 'drinker']",🌿Green Flag,"morning, coffee, coffee"
"Fitness junkie, chocolate connoisseur.",Male,43,Houston,Male,OkCupid,"['fitness', 'junkie', 'chocolate', 'connoisseur']","['fitness', 'junkie', 'chocolate', 'connoisseur']",🤷‍♂️No Clear Signal,
"Foodie, flaky mid-week.",Female,35,Philadelphia,Female,Hinge,"['foodie', 'flaky', 'midweek']","['foodie', 'flaky']",🚩Red Flag,flaky
i ghost sometimes,Male,36,Houston,Male,Tinder,"['ghost', 'sometimes']","['ghost', 'sometimes']",🚩Red Flag,"ghost, ghost, sometimes"
"Dog mom, chaos enthusiast",Male,26,Houston,Male,Hinge,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']",🚩Red Flag,"chaos, dog, enthusiast, dog, chaos"
love dogs more than ppl,Male,25,Chicago,Male,Tinder,"['love', 'dogs', 'ppl']","['love', 'dog', 'ppl']",🌿Green Flag,"dog, love, dog"
I binge-watch shows like a pro,Female,44,Houston,Female,CMB,"['bingewatch', 'shows', 'like', 'pro']","['show', 'like', 'pro']",🙂Mixed Flag,like
"Gamer, flaky.",Non-binary,42,Dallas,Non-binary,Hinge,"['gamer', 'flaky']","['gamer', 'flaky']",🚩Red Flag,flaky
"love memes, hate drama",Non-binary,27,New York,Non-binary,OkCupid,"['love', 'memes', 'hate', 'drama']","['love', 'meme', 'hate', 'drama']",🚩Red Flag,"hate, drama, love, meme"
"sarcastic, messy, fun",Male,41,Dallas,Male,OkCupid,"['sarcastic', 'messy', 'fun']","['sarcastic', 'messy', 'fun']",🚩Red Flag,"messy, messy, messy"
"I trip over nothing, impressively",Female,31,Las Vegas,Female,Hinge,"['trip', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']",🤷‍♂️No Clear Signal,
"Obsessed with hiking, dogs, and good vibes.",Female,34,LA,Female,OkCupid,"['obsessed', 'hiking', 'dogs', 'good', 'vibes']","['obsess', 'hiking', 'dog', 'good', 'vibe']",🚩Red Flag,"obsess, dog, dog"
"Pizza > People, prove me wrong",Non-binary,21,Philadelphia,Non-binary,Hinge,"['pizza', 'people', 'prove', 'wrong']","['pizza', 'people', 'prove', 'wrong']",🌿Green Flag,"pizza, pizza"
Obsessed with spontaneous adventures.,Male,41,LA,Male,Bumble,"['obsessed', 'spontaneous', 'adventures']","['obsess', 'spontaneous', 'adventure']",🚩Red Flag,obsess
"Dog cuddler, Netflix binger.",Male,19,New York,Male,Hinge,"['dog', 'cuddler', 'netflix', 'binger']","['dog', 'cuddler', 'netflix', 'binger']",🌿Green Flag,"dog, dog"
yes i’m clingy. yes i’m cute.,Non-binary,44,Chicago,Non-binary,Bumble,"['yes', 'im', 'clingy', 'yes', 'im', 'cute']","['yes', 'clingy', 'yes', 'cute']",🌿Green Flag,clingy
Can cook 2-minute noodles like a Michelin chef,Male,29,Chicago,Male,OkCupid,"['cook', 'minute', 'noodles', 'like', 'michelin', 'chef']","['cook', 'noodle', 'like', 'michelin', 'chef']",🙂Mixed Flag,like
obsessed w dogs 🐶,Non-binary,26,Dallas,Non-binary,Hinge,"['obsessed', 'w', 'dogs']","['obsessed', 'dog']",🚩Red Flag,"obsessed, dog, dog"
i scream at movies,Female,38,New York,Female,CMB,"['scream', 'movies']","['scream', 'movie']",🤷‍♂️No Clear Signal,
"pizza > salads, fight me",Non-binary,34,Las Vegas,Non-binary,CMB,"['pizza', 'salads', 'fight']","['pizza', 'salad', 'fight']",🚩Red Flag,"fight, fight, pizza, pizza"
dating me is like therapy but worse,Male,29,Philadelphia,Male,Hinge,"['dating', 'like', 'therapy', 'worse']","['date', 'like', 'therapy', 'worse']",🚩Red Flag,"worse, worse, therapy, like"
sunny days > rainy days,Male,21,Dallas,Male,Tinder,"['sunny', 'days', 'rainy', 'days']","['sunny', 'day', 'rainy', 'day']",🤷‍♂️No Clear Signal,
I ghost to keep things interesting.,Female,19,Dallas,Female,Tinder,"['ghost', 'keep', 'things', 'interesting']","['ghost', 'keep', 'thing', 'interest']",🚩Red Flag,"ghost, ghost"
"Foodie, secretly judgmental.",Non-binary,42,San Fransisco,Non-binary,CMB,"['foodie', 'secretly', 'judgmental']","['foodie', 'secretly', 'judgmental']",🤷‍♂️No Clear Signal,
"Obsessed with memes, coffee, and bad decisions. ☕😂",Male,38,LA,Male,CMB,"['obsessed', 'memes', 'coffee', 'bad', 'decisions']","['obsess', 'meme', 'coffee', 'bad', 'decision']",🚩Red Flag,"bad, obsess, bad, bad, coffee, coffee, meme"
"Loves music festivals, ghosted after one night.",Male,21,Dallas,Male,Hinge,"['loves', 'music', 'festivals', 'ghosted', 'one', 'night']","['love', 'music', 'festival', 'ghost', 'one', 'night']",🚩Red Flag,"ghost, ghost, love"
gym rat & coffee addict,Male,32,New York,Male,CMB,"['gym', 'rat', 'coffee', 'addict']","['gym', 'rat', 'coffee', 'addict']",🌿Green Flag,"coffee, coffee"
"Obsessed with dogs, coffee, and chaos 🐶☕😂",Non-binary,27,Chicago,Non-binary,Hinge,"['obsessed', 'dogs', 'coffee', 'chaos']","['obsessed', 'dog', 'coffee', 'chaos']",🚩Red Flag,"obsessed, chaos, dog, coffee, dog, coffee, chaos"
Coffee addict and sarcasm queen ☕😂,Non-binary,36,New York,Non-binary,Hinge,"['coffee', 'addict', 'sarcasm', 'queen']","['coffee', 'addict', 'sarcasm', 'queen']",🚩Red Flag,"sarcasm, coffee, coffee"
"I ghost, but I leave memes",Male,41,Houston,Male,CMB,"['ghost', 'leave', 'memes']","['ghost', 'leave', 'meme']",🚩Red Flag,"ghost, ghost, meme"
"I flirt shamelessly, love dangerously.",Non-binary,18,San Fransisco,Non-binary,OkCupid,"['flirt', 'shamelessly', 'love', 'dangerously']","['flirt', 'shamelessly', 'love', 'dangerously']",🚩Red Flag,"flirt, flirt, love"
socially awkward,Male,32,Houston,Male,Tinder,"['socially', 'awkward']","['socially', 'awkward']",🤷‍♂️No Clear Signal,
"Gamer at heart, foodie in practice.",Non-binary,28,New York,Non-binary,Bumble,"['gamer', 'heart', 'foodie', 'practice']","['game', 'heart', 'foodie', 'practice']",🤷‍♂️No Clear Signal,
talk to me maybe,Non-binary,25,Houston,Non-binary,Bumble,"['talk', 'maybe']","['talk', 'maybe']",🤷‍♂️No Clear Signal,
cat person only,Male,43,Dallas,Male,Hinge,"['cat', 'person']","['cat', 'person']",🤷‍♂️No Clear Signal,
yes i still play mario kart,Non-binary,41,Las Vegas,Non-binary,CMB,"['yes', 'still', 'play', 'mario', 'kart']","['yes', 'still', 'play', 'mario', 'kart']",🤷‍♂️No Clear Signal,
"Snack first, questions later",Female,36,Dallas,Female,CMB,"['snack', 'first', 'questions', 'later']","['snack', 'first', 'question', 'later']",🤷‍♂️No Clear Signal,
chaotic brain,Male,36,San Fransisco,Male,Hinge,"['chaotic', 'brain']","['chaotic', 'brain']",🙂Mixed Flag,"chaotic, brain"
Dog whisperer seeking dog human,Male,40,Las Vegas,Male,OkCupid,"['dog', 'whisperer', 'seeking', 'dog', 'human']","['dog', 'whisperer', 'seek', 'dog', 'human']",🌿Green Flag,"dog, human, dog, human"
lonely but spicy,Male,38,Dallas,Male,CMB,"['lonely', 'spicy']","['lonely', 'spicy']",🤷‍♂️No Clear Signal,
"looking for vibes, not titles",Female,39,Chicago,Female,CMB,"['looking', 'vibes', 'titles']","['look', 'vibe', 'title']",🚩Red Flag,look
"Night owl, meme collector, chocolate lover.",Non-binary,35,Las Vegas,Non-binary,OkCupid,"['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']",🌿Green Flag,"lover, meme"
"Loves camping, bad jokes, and good snacks.",Non-binary,45,New York,Non-binary,CMB,"['loves', 'camping', 'bad', 'jokes', 'good', 'snacks']","['love', 'camp', 'bad', 'joke', 'good', 'snack']",🚩Red Flag,"bad, bad, bad, love"
messy but fun,Male,37,Chicago,Male,CMB,"['messy', 'fun']","['messy', 'fun']",🚩Red Flag,"messy, messy, messy"
i overcommit,Male,25,New York,Male,CMB,['overcommit'],['overcommit'],🤷‍♂️No Clear Signal,
Obsessed with travel journals.,Male,29,New York,Male,Hinge,"['obsessed', 'travel', 'journals']","['obsess', 'travel', 'journal']",🚩Red Flag,obsess
i flirt with my words not with games,Non-binary,27,Las Vegas,Non-binary,Hinge,"['flirt', 'words', 'games']","['flirt', 'word', 'game']",🚩Red Flag,"flirt, flirt"
in my healing era but still choosing violence,Female,27,New York,Female,Bumble,"['healing', 'era', 'still', 'choosing', 'violence']","['heal', 'era', 'still', 'choose', 'violence']",🚩Red Flag,violence
Always lost in music or my thoughts.,Male,39,New York,Male,Tinder,"['always', 'lost', 'music', 'thoughts']","['always', 'lose', 'music', 'thought']",🌿Green Flag,always
chaos wrapped in lip gloss,Female,43,Philadelphia,Female,Tinder,"['chaos', 'wrapped', 'lip', 'gloss']","['chaos', 'wrap', 'lip', 'gloss']",🚩Red Flag,"chaos, chaos"
might ghost u,Female,44,New York,Female,Hinge,"['might', 'ghost', 'u']","['might', 'ghost']",🚩Red Flag,"ghost, ghost"
literally just here to flirt and ghost,Male,40,Philadelphia,Male,Tinder,"['literally', 'flirt', 'ghost']","['literally', 'flirt', 'ghost']",🚩Red Flag,"ghost, flirt, ghost, flirt"
love language = quality time & terrible jokes.,Non-binary,36,Philadelphia,Non-binary,Bumble,"['love', 'language', 'quality', 'time', 'terrible', 'jokes']","['love', 'language', 'quality', 'time', 'terrible', 'joke']",🌿Green Flag,love
overthink & snack,Non-binary,39,LA,Non-binary,CMB,"['overthink', 'snack']","['overthink', 'snack']",🚩Red Flag,"overthink, overthink, overthink"
lowkey creepy,Female,22,Houston,Female,Tinder,"['lowkey', 'creepy']","['lowkey', 'creepy']",🤷‍♂️No Clear Signal,
Movie nerd looking for co-pilot in life.,Male,40,San Fransisco,Male,Bumble,"['movie', 'nerd', 'looking', 'copilot', 'life']","['movie', 'nerd', 'look', 'life']",🚩Red Flag,"look, life"
introvert but spicy,Male,30,Chicago,Male,Tinder,"['introvert', 'spicy']","['introvert', 'spicy']",🙂Mixed Flag,introvert
sarcasm my cardio,Non-binary,34,Philadelphia,Non-binary,OkCupid,"['sarcasm', 'cardio']","['sarcasm', 'cardio']",🚩Red Flag,sarcasm
"I’m not everyone’s cup of tea, but I’m warm",Female,41,Houston,Female,CMB,"['im', 'everyones', 'cup', 'tea', 'im', 'warm']","['everyone', 'cup', 'tea', 'warm']",🌿Green Flag,warm
Loves cozy blankets and rainy days.,Male,25,Chicago,Male,Hinge,"['loves', 'cozy', 'blankets', 'rainy', 'days']","['love', 'cozy', 'blanket', 'rainy', 'day']",🌿Green Flag,love
you’ll fall first. don’t fight it,Male,21,Dallas,Male,Hinge,"['youll', 'fall', 'first', 'dont', 'fight']","['fall', 'first', 'fight']",🚩Red Flag,"fight, fight"
"Weekend hiker, weekday napper.",Non-binary,28,Las Vegas,Non-binary,CMB,"['weekend', 'hiker', 'weekday', 'napper']","['weekend', 'hiker', 'weekday', 'napper']",🤷‍♂️No Clear Signal,
Amateur painter looking for inspiration and snacks.,Male,34,Dallas,Male,CMB,"['amateur', 'painter', 'looking', 'inspiration', 'snacks']","['amateur', 'painter', 'look', 'inspiration', 'snack']",🚩Red Flag,"look, amateur"
Currently training for a Netflix marathon,Female,36,Philadelphia,Female,CMB,"['currently', 'training', 'netflix', 'marathon']","['currently', 'train', 'netflix', 'marathon']",🙂Mixed Flag,currently
"Yoga enthusiast, ghosted recently.",Male,24,Houston,Male,Hinge,"['yoga', 'enthusiast', 'ghosted', 'recently']","['yoga', 'enthusiast', 'ghost', 'recently']",🚩Red Flag,"ghost, ghost, enthusiast"
