bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
"Pro at awkward silences, lover of chaos",pro at awkward silences lover of chaos,"['pro', 'at', 'awkward', 'silences', 'lover', 'of', 'chaos']","['pro', 'awkward', 'silences', 'lover', 'chaos']","['pro', 'awkward', 'silence', 'lover', 'chaos']"
"Gamer, foodie, chaos lover.",gamer foodie chaos lover,"['gamer', 'foodie', 'chaos', 'lover']","['gamer', 'foodie', 'chaos', 'lover']","['gamer', 'foodie', 'chaos', 'lover']"
"Flirt dangerously, nap professionally",flirt dangerously nap professionally,"['flirt', 'dangerously', 'nap', 'professionally']","['flirt', 'dangerously', 'nap', 'professionally']","['flirt', 'dangerously', 'nap', 'professionally']"
Could ghost… but I’ll leave cute notes. 😬❤️,could ghost but ill leave cute notes,"['could', 'ghost', 'but', 'ill', 'leave', 'cute', 'notes']","['could', 'ghost', 'ill', 'leave', 'cute', 'notes']","['could', 'leave', 'cute', 'note']"
"if you like soft people with loud laughs, hi",if you like soft people with loud laughs hi,"['if', 'you', 'like', 'soft', 'people', 'with', 'loud', 'laughs', 'hi']","['like', 'soft', 'people', 'loud', 'laughs', 'hi']","['like', 'soft', 'people', 'loud', 'laugh', 'hi']"
"Music, sarcasm, and chaos. 🎶😎⚡",music sarcasm and chaos,"['music', 'sarcasm', 'and', 'chaos']","['music', 'sarcasm', 'chaos']","['music', 'sarcasm', 'chaos']"
Loves cooking experiments gone right (and wrong).,loves cooking experiments gone right and wrong,"['loves', 'cooking', 'experiments', 'gone', 'right', 'and', 'wrong']","['loves', 'cooking', 'experiments', 'gone', 'right', 'wrong']","['love', 'cook', 'experiment', 'go', 'right', 'wrong']"
swipe if you’re intocommunication and cuddling,swipe if youre intocommunication and cuddling,"['swipe', 'if', 'youre', 'intocommunication', 'and', 'cuddling']","['swipe', 'youre', 'intocommunication', 'cuddling']","['swipe', 'intocommunication', 'cuddle']"
Introvert with social battery issues,introvert with social battery issues,"['introvert', 'with', 'social', 'battery', 'issues']","['introvert', 'social', 'battery', 'issues']","['introvert', 'social', 'battery', 'issue']"
"Loves dogs, forgets small promises.",loves dogs forgets small promises,"['loves', 'dogs', 'forgets', 'small', 'promises']","['loves', 'dogs', 'forgets', 'small', 'promises']","['love', 'dog', 'forgets', 'small', 'promise']"
Netflix > Responsibilities,netflix  responsibilities,"['netflix', 'responsibilities']","['netflix', 'responsibilities']","['netflix', 'responsibility']"
messy hair dont care,messy hair dont care,"['messy', 'hair', 'dont', 'care']","['messy', 'hair', 'dont', 'care']","['messy', 'hair', 'dont', 'care']"
i play video games too much,i play video games too much,"['i', 'play', 'video', 'games', 'too', 'much']","['play', 'video', 'games', 'much']","['play', 'video', 'game', 'much']"
"Can cook pasta, can’t handle commitment.",can cook pasta cant handle commitment,"['can', 'cook', 'pasta', 'cant', 'handle', 'commitment']","['cook', 'pasta', 'cant', 'handle', 'commitment']","['cook', 'pasta', 'handle', 'commitment']"
growth is hot. so is kindness.,growth is hot so is kindness,"['growth', 'is', 'hot', 'so', 'is', 'kindness']","['growth', 'hot', 'kindness']","['growth', 'hot', 'kindness']"
chaotic mood,chaotic mood,"['chaotic', 'mood']","['chaotic', 'mood']","['chaotic', 'mood']"
Currently ignoring adulthood creatively,currently ignoring adulthood creatively,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']"
obsessed with memes,obsessed with memes,"['obsessed', 'with', 'memes']","['obsessed', 'memes']","['obsess', 'meme']"
introvert but sometimes extra,introvert but sometimes extra,"['introvert', 'but', 'sometimes', 'extra']","['introvert', 'sometimes', 'extra']","['introvert', 'sometimes', 'extra']"
"if you’re kind, funny, and real, we’ll vibe",if youre kind funny and real well vibe,"['if', 'youre', 'kind', 'funny', 'and', 'real', 'well', 'vibe']","['youre', 'kind', 'funny', 'real', 'well', 'vibe']","['kind', 'funny', 'real', 'vibe']"
LOVE dogs more than ppl,love dogs more than ppl,"['love', 'dogs', 'more', 'than', 'ppl']","['love', 'dogs', 'ppl']","['love', 'dog', 'ppl']"
"Coffee snob, occasionally judgmental.",coffee snob occasionally judgmental,"['coffee', 'snob', 'occasionally', 'judgmental']","['coffee', 'snob', 'occasionally', 'judgmental']","['coffee', 'snob', 'occasionally', 'judgmental']"
tacos & memes,tacos  memes,"['tacos', 'memes']","['tacos', 'memes']","['taco', 'meme']"
"Gamer, avoids deep chats.",gamer avoids deep chats,"['gamer', 'avoids', 'deep', 'chats']","['gamer', 'avoids', 'deep', 'chats']","['gamer', 'avoids', 'deep', 'chat']"
"i like dogs, hate mornings",i like dogs hate mornings,"['i', 'like', 'dogs', 'hate', 'mornings']","['like', 'dogs', 'hate', 'mornings']","['like', 'dog', 'hate', 'morning']"
"Night owl, meme collector, chaos lover.",night owl meme collector chaos lover,"['night', 'owl', 'meme', 'collector', 'chaos', 'lover']","['night', 'owl', 'meme', 'collector', 'chaos', 'lover']","['night', 'owl', 'meme', 'collector', 'chaos', 'lover']"
naps > responsibilities,naps  responsibilities,"['naps', 'responsibilities']","['naps', 'responsibilities']","['nap', 'responsibility']"
"Flirting: 100% chaos, 0% plan",flirting  chaos  plan,"['flirting', 'chaos', 'plan']","['flirting', 'chaos', 'plan']","['flirt', 'chaos', 'plan']"
Loves dancing like nobody’s watching.,loves dancing like nobodys watching,"['loves', 'dancing', 'like', 'nobodys', 'watching']","['loves', 'dancing', 'like', 'nobodys', 'watching']","['love', 'dance', 'like', 'nobody', 'watch']"
low effort energy only unless you're HOT,low effort energy only unless youre hot,"['low', 'effort', 'energy', 'only', 'unless', 'youre', 'hot']","['low', 'effort', 'energy', 'unless', 'youre', 'hot']","['low', 'effort', 'energy', 'unless', 'hot']"
"if u can’t handle attitude, keep scrolling",if u cant handle attitude keep scrolling,"['if', 'u', 'cant', 'handle', 'attitude', 'keep', 'scrolling']","['u', 'cant', 'handle', 'attitude', 'keep', 'scrolling']","['handle', 'attitude', 'keep', 'scrolling']"
"Night owl, music enthusiast, chaos lover.",night owl music enthusiast chaos lover,"['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']"
music > everything,music  everything,"['music', 'everything']","['music', 'everything']","['music', 'everything']"
loves chocolate 🍫,loves chocolate,"['loves', 'chocolate']","['loves', 'chocolate']","['love', 'chocolate']"
"Coffee, chaos, and chill vibes ☕😎",coffee chaos and chill vibes,"['coffee', 'chaos', 'and', 'chill', 'vibes']","['coffee', 'chaos', 'chill', 'vibes']","['coffee', 'chaos', 'chill', 'vibe']"
my vibe is “leave me alone but give me attention”,my vibe is leave me alone but give me attention,"['my', 'vibe', 'is', 'leave', 'me', 'alone', 'but', 'give', 'me', 'attention']","['vibe', 'leave', 'alone', 'give', 'attention']","['vibe', 'leave', 'alone', 'give', 'attention']"
Night owl who thrives on chaos and laughter.,night owl who thrives on chaos and laughter,"['night', 'owl', 'who', 'thrives', 'on', 'chaos', 'and', 'laughter']","['night', 'owl', 'thrives', 'chaos', 'laughter']","['night', 'owl', 'thrive', 'chaos', 'laughter']"
i overthink dumb stuff,i overthink dumb stuff,"['i', 'overthink', 'dumb', 'stuff']","['overthink', 'dumb', 'stuff']","['overthink', 'dumb', 'stuff']"
messy but fun,messy but fun,"['messy', 'but', 'fun']","['messy', 'fun']","['messy', 'fun']"
"Night owl, music enthusiast, chaos lover.",night owl music enthusiast chaos lover,"['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']"
obsessed w dogs,obsessed w dogs,"['obsessed', 'w', 'dogs']","['obsessed', 'w', 'dogs']","['obsessed', 'dog']"
Professional chaos coordinator,professional chaos coordinator,"['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']"
"Always laughing, rarely serious. 😄",always laughing rarely serious,"['always', 'laughing', 'rarely', 'serious']","['always', 'laughing', 'rarely', 'serious']","['always', 'laugh', 'rarely', 'serious']"
I laugh at my own jokes constantly,i laugh at my own jokes constantly,"['i', 'laugh', 'at', 'my', 'own', 'jokes', 'constantly']","['laugh', 'jokes', 'constantly']","['laugh', 'joke', 'constantly']"
talks too much,talks too much,"['talks', 'too', 'much']","['talks', 'much']","['talk', 'much']"
Beach bum with a love for books and coffee.,beach bum with a love for books and coffee,"['beach', 'bum', 'with', 'a', 'love', 'for', 'books', 'and', 'coffee']","['beach', 'bum', 'love', 'books', 'coffee']","['beach', 'bum', 'love', 'book', 'coffee']"
"Loves karaoke, dancing in the rain, and chocolate.",loves karaoke dancing in the rain and chocolate,"['loves', 'karaoke', 'dancing', 'in', 'the', 'rain', 'and', 'chocolate']","['loves', 'karaoke', 'dancing', 'rain', 'chocolate']","['love', 'karaoke', 'dance', 'rain', 'chocolate']"
love memes & naps,love memes  naps,"['love', 'memes', 'naps']","['love', 'memes', 'naps']","['love', 'meme', 'nap']"
"i ghost sometimes, deal",i ghost sometimes deal,"['i', 'ghost', 'sometimes', 'deal']","['ghost', 'sometimes', 'deal']","['ghost', 'sometimes', 'deal']"
"Sarcastic soul, soft heart",sarcastic soul soft heart,"['sarcastic', 'soul', 'soft', 'heart']","['sarcastic', 'soul', 'soft', 'heart']","['sarcastic', 'soul', 'soft', 'heart']"
"I may ghost you, but I’ll send memes",i may ghost you but ill send memes,"['i', 'may', 'ghost', 'you', 'but', 'ill', 'send', 'memes']","['may', 'ghost', 'ill', 'send', 'memes']","['may', 'ghost', 'send', 'meme']"
coffee & sarcasm always,coffee  sarcasm always,"['coffee', 'sarcasm', 'always']","['coffee', 'sarcasm', 'always']","['coffee', 'sarcasm', 'always']"
Currently training for dessert marathon,currently training for dessert marathon,"['currently', 'training', 'for', 'dessert', 'marathon']","['currently', 'training', 'dessert', 'marathon']","['currently', 'train', 'dessert', 'marathon']"
"I can’t dance, but I will",i cant dance but i will,"['i', 'cant', 'dance', 'but', 'i', 'will']","['cant', 'dance']",['dance']
"Boardwalks, beaches, and breezy evenings.",boardwalks beaches and breezy evenings,"['boardwalks', 'beaches', 'and', 'breezy', 'evenings']","['boardwalks', 'beaches', 'breezy', 'evenings']","['boardwalk', 'beach', 'breezy', 'evening']"
messy & fun,messy  fun,"['messy', 'fun']","['messy', 'fun']","['messy', 'fun']"
"full-time dog lover, part-time sunset chaser 🐶🌅",fulltime dog lover parttime sunset chaser,"['fulltime', 'dog', 'lover', 'parttime', 'sunset', 'chaser']","['fulltime', 'dog', 'lover', 'parttime', 'sunset', 'chaser']","['dog', 'lover', 'sunset', 'chaser']"
bored rn,bored rn,"['bored', 'rn']","['bored', 'rn']","['bore', 'rn']"
might cry randomly,might cry randomly,"['might', 'cry', 'randomly']","['might', 'cry', 'randomly']","['might', 'cry', 'randomly']"
"i overthink, sorry",i overthink sorry,"['i', 'overthink', 'sorry']","['overthink', 'sorry']","['overthink', 'sorry']"
"Plant-based eater, but not judgmental.",plantbased eater but not judgmental,"['plantbased', 'eater', 'but', 'not', 'judgmental']","['plantbased', 'eater', 'judgmental']","['eater', 'judgmental']"
emojis > words,emojis  words,"['emojis', 'words']","['emojis', 'words']","['emojis', 'word']"
i overthink,i overthink,"['i', 'overthink']",['overthink'],['overthink']
Currently training for a snack marathon,currently training for a snack marathon,"['currently', 'training', 'for', 'a', 'snack', 'marathon']","['currently', 'training', 'snack', 'marathon']","['currently', 'train', 'snack', 'marathon']"
"Night owl, meme collector, chocolate lover.",night owl meme collector chocolate lover,"['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']"
"Late-night thinker, early-morning napper.",latenight thinker earlymorning napper,"['latenight', 'thinker', 'earlymorning', 'napper']","['latenight', 'thinker', 'earlymorning', 'napper']","['thinker', 'napper']"
"Fluent in sarcasm, bad jokes, and late-night snacks.",fluent in sarcasm bad jokes and latenight snacks,"['fluent', 'in', 'sarcasm', 'bad', 'jokes', 'and', 'latenight', 'snacks']","['fluent', 'sarcasm', 'bad', 'jokes', 'latenight', 'snacks']","['fluent', 'sarcasm', 'bad', 'joke', 'snack']"
been single so long I forgot how to flirt,been single so long i forgot how to flirt,"['been', 'single', 'so', 'long', 'i', 'forgot', 'how', 'to', 'flirt']","['single', 'long', 'forgot', 'flirt']","['single', 'long', 'forget', 'flirt']"
Loves road trips and bad karaoke. 🎤🚗,loves road trips and bad karaoke,"['loves', 'road', 'trips', 'and', 'bad', 'karaoke']","['loves', 'road', 'trips', 'bad', 'karaoke']","['love', 'road', 'trip', 'bad', 'karaoke']"
I laugh at my own jokes… constantly,i laugh at my own jokes constantly,"['i', 'laugh', 'at', 'my', 'own', 'jokes', 'constantly']","['laugh', 'jokes', 'constantly']","['laugh', 'constantly']"
dogs > humans,dogs  humans,"['dogs', 'humans']","['dogs', 'humans']","['dog', 'human']"
bored here,bored here,"['bored', 'here']",['bored'],['bore']
I trip over flat surfaces,i trip over flat surfaces,"['i', 'trip', 'over', 'flat', 'surfaces']","['trip', 'flat', 'surfaces']","['trip', 'flat', 'surface']"
tacos > love,tacos  love,"['tacos', 'love']","['tacos', 'love']","['taco', 'love']"
Dog mom who can’t resist a good meme 🐶😂,dog mom who cant resist a good meme,"['dog', 'mom', 'who', 'cant', 'resist', 'a', 'good', 'meme']","['dog', 'mom', 'cant', 'resist', 'good', 'meme']","['dog', 'mom', 'resist', 'good', 'meme']"
Sarcasm: my second language,sarcasm my second language,"['sarcasm', 'my', 'second', 'language']","['sarcasm', 'second', 'language']","['sarcasm', 'second', 'language']"
pizza > everything,pizza  everything,"['pizza', 'everything']","['pizza', 'everything']","['pizza', 'everything']"
might annoy u,might annoy u,"['might', 'annoy', 'u']","['might', 'annoy', 'u']","['might', 'annoy']"
"Gamer, flaky mid-week.",gamer flaky midweek,"['gamer', 'flaky', 'midweek']","['gamer', 'flaky', 'midweek']","['gamer', 'flaky']"
"currently into pottery, quiet mornings, and better boundaries",currently into pottery quiet mornings and better boundaries,"['currently', 'into', 'pottery', 'quiet', 'mornings', 'and', 'better', 'boundaries']","['currently', 'pottery', 'quiet', 'mornings', 'better', 'boundaries']","['currently', 'pottery', 'quiet', 'morning', 'good', 'boundary']"
"if you hate texting and expect me to carry convos alone… idc how hot you are, go away.",if you hate texting and expect me to carry convos alone idc how hot you are go away,"['if', 'you', 'hate', 'texting', 'and', 'expect', 'me', 'to', 'carry', 'convos', 'alone', 'idc', 'how', 'hot', 'you', 'are', 'go', 'away']","['hate', 'texting', 'expect', 'carry', 'convos', 'alone', 'idc', 'hot', 'go', 'away']","['hate', 'texting', 'expect', 'carry', 'convos', 'idc', 'hot', 'go', 'away']"
overthinker but loveable,overthinker but loveable,"['overthinker', 'but', 'loveable']","['overthinker', 'loveable']","['overthinker', 'loveable']"
"Wine lover, ghosted recently.",wine lover ghosted recently,"['wine', 'lover', 'ghosted', 'recently']","['wine', 'lover', 'ghosted', 'recently']","['wine', 'lover', 'ghost', 'recently']"
Loves road trips and singing off-key.,loves road trips and singing offkey,"['loves', 'road', 'trips', 'and', 'singing', 'offkey']","['loves', 'road', 'trips', 'singing', 'offkey']","['love', 'road', 'trip', 'sing']"
loves cuddles,loves cuddles,"['loves', 'cuddles']","['loves', 'cuddles']","['love', 'cuddle']"
Netflix is my spirit animal,netflix is my spirit animal,"['netflix', 'is', 'my', 'spirit', 'animal']","['netflix', 'spirit', 'animal']","['netflix', 'spirit', 'animal']"
"I love cats, tolerate humans.",i love cats tolerate humans,"['i', 'love', 'cats', 'tolerate', 'humans']","['love', 'cats', 'tolerate', 'humans']","['love', 'cat', 'tolerate', 'human']"
Loves spontaneous road trips and starry nights.,loves spontaneous road trips and starry nights,"['loves', 'spontaneous', 'road', 'trips', 'and', 'starry', 'nights']","['loves', 'spontaneous', 'road', 'trips', 'starry', 'nights']","['love', 'spontaneous', 'road', 'trip', 'starry', 'night']"
Fitness enthusiast who loves chocolate.,fitness enthusiast who loves chocolate,"['fitness', 'enthusiast', 'who', 'loves', 'chocolate']","['fitness', 'enthusiast', 'loves', 'chocolate']","['fitness', 'enthusiast', 'love', 'chocolate']"
Music lover with bad rhythm.,music lover with bad rhythm,"['music', 'lover', 'with', 'bad', 'rhythm']","['music', 'lover', 'bad', 'rhythm']","['music', 'lover', 'bad', 'rhythm']"
"I steal fries, not hearts… usually",i steal fries not hearts usually,"['i', 'steal', 'fries', 'not', 'hearts', 'usually']","['steal', 'fries', 'hearts', 'usually']","['steal', 'fry', 'usually']"
"Fluent in sarcasm, memes, and awkward situations.",fluent in sarcasm memes and awkward situations,"['fluent', 'in', 'sarcasm', 'memes', 'and', 'awkward', 'situations']","['fluent', 'sarcasm', 'memes', 'awkward', 'situations']","['fluent', 'sarcasm', 'meme', 'awkward', 'situation']"
Loves handwritten letters and postcards.,loves handwritten letters and postcards,"['loves', 'handwritten', 'letters', 'and', 'postcards']","['loves', 'handwritten', 'letters', 'postcards']","['love', 'handwritten', 'letter', 'postcard']"
messy hair dont care,messy hair dont care,"['messy', 'hair', 'dont', 'care']","['messy', 'hair', 'dont', 'care']","['messy', 'hair', 'dont', 'care']"
shy but savage,shy but savage,"['shy', 'but', 'savage']","['shy', 'savage']","['shy', 'savage']"
i ghost but friendly,i ghost but friendly,"['i', 'ghost', 'but', 'friendly']","['ghost', 'friendly']","['ghost', 'friendly']"
obsessed w astrology,obsessed w astrology,"['obsessed', 'w', 'astrology']","['obsessed', 'w', 'astrology']","['obsess', 'astrology']"
"Coffee before anything, forgets birthdays.",coffee before anything forgets birthdays,"['coffee', 'before', 'anything', 'forgets', 'birthdays']","['coffee', 'anything', 'forgets', 'birthdays']","['coffee', 'anything', 'forgets', 'birthdays']"
Love long drives and short conversations 🚗💬,love long drives and short conversations,"['love', 'long', 'drives', 'and', 'short', 'conversations']","['love', 'long', 'drives', 'short', 'conversations']","['love', 'long', 'drive', 'short', 'conversation']"
loves long walks,loves long walks,"['loves', 'long', 'walks']","['loves', 'long', 'walks']","['love', 'long', 'walk']"
"looking for peace, partnership, and playlists",looking for peace partnership and playlists,"['looking', 'for', 'peace', 'partnership', 'and', 'playlists']","['looking', 'peace', 'partnership', 'playlists']","['look', 'peace', 'partnership', 'playlist']"
might ghost u,might ghost u,"['might', 'ghost', 'u']","['might', 'ghost', 'u']","['might', 'ghost']"
memes over humans,memes over humans,"['memes', 'over', 'humans']","['memes', 'humans']","['meme', 'human']"
Introvert seeking someone to share headphones with.,introvert seeking someone to share headphones with,"['introvert', 'seeking', 'someone', 'to', 'share', 'headphones', 'with']","['introvert', 'seeking', 'someone', 'share', 'headphones']","['introvert', 'seek', 'someone', 'share', 'headphone']"
currently unemployed but rich in memes,currently unemployed but rich in memes,"['currently', 'unemployed', 'but', 'rich', 'in', 'memes']","['currently', 'unemployed', 'rich', 'memes']","['currently', 'unemployed', 'rich', 'meme']"
Will pet your dog without asking,will pet your dog without asking,"['will', 'pet', 'your', 'dog', 'without', 'asking']","['pet', 'dog', 'without', 'asking']","['pet', 'dog', 'without', 'ask']"
"I love sarcasm, hate small talk.",i love sarcasm hate small talk,"['i', 'love', 'sarcasm', 'hate', 'small', 'talk']","['love', 'sarcasm', 'hate', 'small', 'talk']","['love', 'sarcasm', 'hate', 'small', 'talk']"
"Beach hair, don’t care.",beach hair dont care,"['beach', 'hair', 'dont', 'care']","['beach', 'hair', 'dont', 'care']","['beach', 'hair', 'care']"
not ur type. ur obsession,not ur type ur obsession,"['not', 'ur', 'type', 'ur', 'obsession']","['ur', 'type', 'ur', 'obsession']","['ur', 'type', 'ur', 'obsession']"
chill vibes only,chill vibes only,"['chill', 'vibes', 'only']","['chill', 'vibes']","['chill', 'vibe']"
here to give u trust issues,here to give u trust issues,"['here', 'to', 'give', 'u', 'trust', 'issues']","['give', 'u', 'trust', 'issues']","['give', 'trust', 'issue']"
Introvert seeking mutual ignoring,introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']","['introvert', 'seeking', 'mutual', 'ignoring']","['introvert', 'seek', 'mutual', 'ignoring']"
Meme dealer and professional procrastinator 😂🛋️,meme dealer and professional procrastinator,"['meme', 'dealer', 'and', 'professional', 'procrastinator']","['meme', 'dealer', 'professional', 'procrastinator']","['meme', 'dealer', 'professional', 'procrastinator']"
introvert vibes,introvert vibes,"['introvert', 'vibes']","['introvert', 'vibes']","['introvert', 'vibe']"
I will check your following list,i will check your following list,"['i', 'will', 'check', 'your', 'following', 'list']","['check', 'following', 'list']","['check', 'follow', 'list']"
"I trip over nothing, impressively",i trip over nothing impressively,"['i', 'trip', 'over', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']"
memes all day,memes all day,"['memes', 'all', 'day']","['memes', 'day']","['meme', 'day']"
pizza lover,pizza lover,"['pizza', 'lover']","['pizza', 'lover']","['pizza', 'lover']"
I’m fun i swear,im fun i swear,"['im', 'fun', 'i', 'swear']","['im', 'fun', 'swear']","['fun', 'swear']"
might steal ur fries,might steal ur fries,"['might', 'steal', 'ur', 'fries']","['might', 'steal', 'ur', 'fries']","['might', 'steal', 'ur', 'fry']"
I ghost cause I get nervous,i ghost cause i get nervous,"['i', 'ghost', 'cause', 'i', 'get', 'nervous']","['ghost', 'cause', 'get', 'nervous']","['ghost', 'cause', 'get', 'nervous']"
don’t ask “wyd” unless u got plans,dont ask wyd unless u got plans,"['dont', 'ask', 'wyd', 'unless', 'u', 'got', 'plans']","['dont', 'ask', 'wyd', 'unless', 'u', 'got', 'plans']","['ask', 'wyd', 'unless', 'get', 'plan']"
"Morning runner, midnight thinker.",morning runner midnight thinker,"['morning', 'runner', 'midnight', 'thinker']","['morning', 'runner', 'midnight', 'thinker']","['morning', 'runner', 'midnight', 'thinker']"
say something stupid and i’m out,say something stupid and im out,"['say', 'something', 'stupid', 'and', 'im', 'out']","['say', 'something', 'stupid', 'im']","['say', 'something', 'stupid']"
nerd alert 🤓,nerd alert,"['nerd', 'alert']","['nerd', 'alert']","['nerd', 'alert']"
loves strangers,loves strangers,"['loves', 'strangers']","['loves', 'strangers']","['love', 'stranger']"
swipe if you don’t believe in therapy,swipe if you dont believe in therapy,"['swipe', 'if', 'you', 'dont', 'believe', 'in', 'therapy']","['swipe', 'dont', 'believe', 'therapy']","['swipe', 'believe', 'therapy']"
"I whisper to plants, they ignore me",i whisper to plants they ignore me,"['i', 'whisper', 'to', 'plants', 'they', 'ignore', 'me']","['whisper', 'plants', 'ignore']","['whisper', 'plant', 'ignore']"
Loves cooking experiments and tasting fails.,loves cooking experiments and tasting fails,"['loves', 'cooking', 'experiments', 'and', 'tasting', 'fails']","['loves', 'cooking', 'experiments', 'tasting', 'fails']","['love', 'cook', 'experiment', 'taste', 'fails']"
Professional meme sharer,professional meme sharer,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']"
"Flirting: chaotic, unplanned, cute",flirting chaotic unplanned cute,"['flirting', 'chaotic', 'unplanned', 'cute']","['flirting', 'chaotic', 'unplanned', 'cute']","['flirt', 'chaotic', 'unplanned', 'cute']"
honestly idc,honestly idc,"['honestly', 'idc']","['honestly', 'idc']","['honestly', 'idc']"
travel > money,travel  money,"['travel', 'money']","['travel', 'money']","['travel', 'money']"
tacos pls,tacos pls,"['tacos', 'pls']","['tacos', 'pls']","['taco', 'pls']"
"Loves road trips, flaky with plans.",loves road trips flaky with plans,"['loves', 'road', 'trips', 'flaky', 'with', 'plans']","['loves', 'road', 'trips', 'flaky', 'plans']","['love', 'road', 'trip', 'flaky', 'plan']"
"Coffee addict, book hoarder, chaos enthusiast.",coffee addict book hoarder chaos enthusiast,"['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']"
"Foodie, sometimes manipulative.",foodie sometimes manipulative,"['foodie', 'sometimes', 'manipulative']","['foodie', 'sometimes', 'manipulative']","['foodie', 'sometimes', 'manipulative']"
"Amateur painter, daydreamer, chaos lover.",amateur painter daydreamer chaos lover,"['amateur', 'painter', 'daydreamer', 'chaos', 'lover']","['amateur', 'painter', 'daydreamer', 'chaos', 'lover']","['amateur', 'painter', 'daydreamer', 'chaos', 'lover']"
"Dog cuddler, human tester.",dog cuddler human tester,"['dog', 'cuddler', 'human', 'tester']","['dog', 'cuddler', 'human', 'tester']","['dog', 'cuddler', 'human', 'tester']"
Not here for anything serious unless you’re rich,not here for anything serious unless youre rich,"['not', 'here', 'for', 'anything', 'serious', 'unless', 'youre', 'rich']","['anything', 'serious', 'unless', 'youre', 'rich']","['anything', 'serious', 'unless', 'rich']"
I give advice I don’t follow.,i give advice i dont follow,"['i', 'give', 'advice', 'i', 'dont', 'follow']","['give', 'advice', 'dont', 'follow']","['give', 'advice', 'follow']"
Flirt like you mean it,flirt like you mean it,"['flirt', 'like', 'you', 'mean', 'it']","['flirt', 'like', 'mean']","['flirt', 'like', 'mean']"
my ex said i’m too much. he’s right,my ex said im too much hes right,"['my', 'ex', 'said', 'im', 'too', 'much', 'hes', 'right']","['ex', 'said', 'im', 'much', 'hes', 'right']","['ex', 'say', 'much', 'right']"
"I care too much, then too little.",i care too much then too little,"['i', 'care', 'too', 'much', 'then', 'too', 'little']","['care', 'much', 'little']","['care', 'much', 'little']"
Flirt dangerously,flirt dangerously,"['flirt', 'dangerously']","['flirt', 'dangerously']","['flirt', 'dangerously']"
chill and messy,chill and messy,"['chill', 'and', 'messy']","['chill', 'messy']","['chill', 'messy']"
pizza time,pizza time,"['pizza', 'time']","['pizza', 'time']","['pizza', 'time']"
"I roast, then give hugs.",i roast then give hugs,"['i', 'roast', 'then', 'give', 'hugs']","['roast', 'give', 'hugs']","['roast', 'give', 'hug']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
Amateur chef with a taste for adventure.,amateur chef with a taste for adventure,"['amateur', 'chef', 'with', 'a', 'taste', 'for', 'adventure']","['amateur', 'chef', 'taste', 'adventure']","['amateur', 'chef', 'taste', 'adventure']"
Living for spontaneous adventures ✈️😂,living for spontaneous adventures,"['living', 'for', 'spontaneous', 'adventures']","['living', 'spontaneous', 'adventures']","['live', 'spontaneous', 'adventure']"
I know what I want. Also know how to communicate it.,i know what i want also know how to communicate it,"['i', 'know', 'what', 'i', 'want', 'also', 'know', 'how', 'to', 'communicate', 'it']","['know', 'want', 'also', 'know', 'communicate']","['know', 'want', 'also', 'know', 'communicate']"
chaos queen,chaos queen,"['chaos', 'queen']","['chaos', 'queen']","['chaos', 'queen']"
i talk too much,i talk too much,"['i', 'talk', 'too', 'much']","['talk', 'much']","['talk', 'much']"
"if you flake, I’ll post about you",if you flake ill post about you,"['if', 'you', 'flake', 'ill', 'post', 'about', 'you']","['flake', 'ill', 'post']","['flake', 'post']"
"Looking for someone to steal my fries, not my heart",looking for someone to steal my fries not my heart,"['looking', 'for', 'someone', 'to', 'steal', 'my', 'fries', 'not', 'my', 'heart']","['looking', 'someone', 'steal', 'fries', 'heart']","['look', 'someone', 'steal', 'fry', 'heart']"
sleepy but cute,sleepy but cute,"['sleepy', 'but', 'cute']","['sleepy', 'cute']","['sleepy', 'cute']"
